gene_name,uniprot,hgnc_symbol,ensembl
FGG,P02679,FGG,ENSG00000171557
FGL1,Q08830,FGL1,ENSG00000104760
FLT1,P17948,FLT1,ENSG00000102755
FLT3,P36888,FLT3,ENSG00000122025
FLT3LG,P49771,FLT3LG,ENSG00000090554
FLT4,P35916,FLT4,ENSG00000037280
FN1,P02751,FN1,ENSG00000115414
FPR1,P21462,FPR1,ENSG00000171051
FPR2,P25090,FPR2,ENSG00000171049
FPR3,P25089,FPR3,ENSG00000187474
FRZB,Q92765,FRZB,ENSG00000162998
FSHB,P01225,FSHB,ENSG00000131808
FSHR,P23945,FSHR,ENSG00000170820
FTH1,P02794,FTH1,ENSG00000167996
FTL,P02792,FTL,ENSG00000087086
FZD1,Q9UP38,FZD1,ENSG00000157240
FZD10,Q9ULW2,FZD10,ENSG00000111432
FZD2,Q14332,FZD2,ENSG00000180340
FZD3,Q9NPG1,FZD3,ENSG00000104290
FZD4,Q9ULV1,FZD4,ENSG00000174804
FZD5,Q13467,FZD5,ENSG00000163251
FZD6,O60353,FZD6,ENSG00000164930
FZD7,O75084,FZD7,ENSG00000155760
FZD8,Q9H461,FZD8,ENSG00000177283
FZD9,O00144,FZD9,ENSG00000188763
GAL,P22466,GAL,ENSG00000069482
GALP,Q9UBC7,GALP,ENSG00000197487
